Student,Sex (F/M/...),Profile,Age,Extroversion,Neuroticism,Psychoticism
0 (example),F,Designer/Programmer/Artist/Producer/All/None,21,75,45,34
1,M,Designer,25,47,22,38
2,M,Designer,22,79,41,25
3,M,Designer,25,65,72,41
4,M,Producer,28,50,55,43
5,F,Artist,22,35,65,46
6,M,Designer,25,47,41,35
7,F,Artist,21,47,65,33
8,M,Programmer,24,65,26,35
9,F,Designer,23,37,65,35
10,M,Programmer,24,28,65,45
11,M,Designer,21,27,39,28
12,M,Programmer,20,49,57,31
13,M,Producer/Designer,23,76,32,41
14,M,All,21,64,32,31
15,M,Designer,22,47,36,28
16,F,Programmer,22,81,41,30
17,F,Artist,21,60,54,40
19,M,Programmer,25,77,55,41
20,M,Designer,21,82,42,51
21,M,Programmer,22,23,45,21
22,M,Artist,22,64,42,21
24,M,Designer,22,45,57,21
25,M,Artist,21,54,41,35
26,M,Programmer,21,55,55,36
27,,Programmer,22,74,47,33
28,M,Artist,20,49,22,25
29,M,Programmer,23,87,27,26
30,M,Programmer,21,69,47,30
31,M,Programmer,20,55,59,50
32,M,Programmer,22,82,62,63
33,M,Programmer,22,35,67,36
34,M,Artist,21,32,52,36
35,M,Programmer,22,71,54,41
36,M,Programmer,24,74,65,51
37,M,Artist/Designer,22,79,69,58
38,F,Artist,20,54,70,35
39,M,Designer,22,57,57,38
40,M,Designer,22,57,34,61
41,M,Programmer,21,65,39,51
42,M,Programmer,21,76,26,48
